Tree#,Training Error,Testing Error
224,0.498,0.504
225,0.311,0.3178
226,0.4816,0.4826
227,0.5382,0.5388
228,0.4558,0.4566
229,0.5918,0.598
230,0.4022,0.3974
231,0.8638,0.8616
232,0.1192,0.1248
233,0.6916,0.6934
234,0.494,0.4888
235,0.5,0.5066
236,0.494,0.4888
237,0.5,0.5066
238,0.494,0.4888
239,0.5256,0.534
240,0.8638,0.8616
241,0.1192,0.1248
242,0.6758,0.6708
243,0.4758,0.4744
244,0.5182,0.521
245,0.4758,0.4744
246,0.184,0.1912
247,0.5508,0.5498
248,0.865,0.8624
249,0.3878,0.3758
250,0.8638,0.8616
251,0.1452,0.1544
252,0.5808,0.5928
253,0.8502,0.8464
254,0.6198,0.6144
255,0.118,0.1252
256,0.7214,0.716
257,0.5066,0.5166
258,0.7372,0.7384
259,0.1192,0.1248
260,0.5726,0.5722
261,0.4908,0.5028
262,0.6136,0.6088
263,0.5114,0.5086
264,0.8638,0.8616
265,0.1192,0.1248
266,0.7438,0.7486
267,0.4418,0.4336
268,0.5256,0.534
269,0.4684,0.4614
270,0.5256,0.534
271,0.4684,0.4614
272,0.8638,0.8616
273,0.1452,0.1544
274,0.8748,0.8706
275,0.2908,0.3026
276,0.4278,0.4284
277,0.5662,0.567
278,0.4278,0.4284
279,0.5662,0.567
280,0.8638,0.8616
281,0.1192,0.1248
282,0.6934,0.6846
283,0.775,0.7718
284,0.4142,0.4058
285,0.1192,0.1248
286,0.5568,0.5606
287,0.5928,0.5948
288,0.3546,0.3476
289,0.8638,0.8616
290,0.1546,0.1604
291,0.2094,0.2104
292,0.5232,0.5296
293,0.8638,0.8616
294,0.1192,0.1248
295,0.76,0.7498
296,0.446,0.4462
297,0.5224,0.5218
298,0.2284,0.236
299,0.74,0.732
300,0.4456,0.4502
301,0.5484,0.5452
302,0.4456,0.4502
303,0.5484,0.5452
304,0.4456,0.4502
305,0.5484,0.5452
306,0.4456,0.4502
307,0.5484,0.5452
308,0.4456,0.4502
309,0.5484,0.5452
310,0.4516,0.4558
311,0.5158,0.5118
312,0.4722,0.478
313,0.3462,0.359
314,0.6776,0.6654
315,0.4622,0.4578
316,0.4224,0.443
317,0.5042,0.512
318,0.6198,0.6144
319,0.1192,0.1248
320,0.5932,0.5798
321,0.5826,0.5942
322,0.5108,0.5042
323,0.5876,0.5854
324,0.4064,0.41
325,0.6134,0.6114
326,0.3806,0.384
327,0.64,0.6392
328,0.354,0.3562
329,0.64,0.6392
330,0.354,0.3562
331,0.6134,0.6114
332,0.3806,0.384
333,0.6498,0.6474
334,0.3442,0.348
335,0.5876,0.5854
336,0.3312,0.3262
337,0.4822,0.476
338,0.8232,0.8198
339,0.1452,0.1544
340,0.8748,0.8706
341,0.8638,0.8616
342,0.3432,0.3346
343,0.6112,0.6168
344,0.4852,0.4768
345,0.8638,0.8616
346,0.129,0.133
347,0.6884,0.6952
348,0.2958,0.292
349,0.6188,0.6182
350,0.3752,0.3772
351,0.6388,0.636
352,0.8638,0.8616
353,0.1192,0.1248
354,0.7184,0.724
355,0.3806,0.384
356,0.6492,0.643
357,0.4758,0.4744
358,0.5182,0.521
359,0.4036,0.4208
360,0.8502,0.8464
361,0.1192,0.1248
362,0.52,0.521
363,0.5466,0.5434
364,0.6468,0.6478
365,0.3472,0.3476
366,0.5212,0.5276
367,0.4728,0.4678
368,0.5212,0.5276
369,0.4728,0.4678
370,0.5212,0.5276
371,0.4728,0.4678
372,0.5212,0.5276
373,0.8638,0.8616
374,0.7372,0.7384
375,0.1192,0.1248
376,0.714,0.7226
377,0.4054,0.3956
378,0.6142,0.6272
379,0.1452,0.1544
380,0.8748,0.8706
381,0.2502,0.2468
382,0.7084,0.713
383,0.3114,0.3084
384,0.6826,0.687
385,0.8638,0.8616
386,0.1192,0.1248
387,0.8488,0.8472
388,0.3374,0.3318
389,0.6566,0.6636
390,0.3116,0.3058
391,0.6824,0.6896
392,0.8638,0.8616
393,0.1192,0.1248
394,0.8748,0.8706
395,0.775,0.7718
396,0.1192,0.1248
397,0.7688,0.7576
398,0.4176,0.4188
399,0.5862,0.5848
400,0.8638,0.8616
401,0.1192,0.1248
402,0.791,0.793
403,0.335,0.3388
404,0.659,0.6566
405,0.3608,0.3648
406,0.6332,0.6306
407,0.1452,0.1544
408,0.8748,0.8706
409,0.8638,0.8616
410,0.1192,0.1248
411,0.8548,0.8528
412,0.3178,0.31
413,0.8638,0.8616
414,0.1678,0.1716
415,0.8748,0.8706
416,0.4494,0.4452
417,0.6866,0.6814
418,0.464,0.465
419,0.184,0.1912
420,0.3542,0.3496
421,0.5508,0.5498
422,0.791,0.793
423,0.8638,0.8616
424,0.4142,0.4058
425,0.1556,0.1608
426,0.775,0.7718
427,0.265,0.2766
428,0.1192,0.1248
429,0.8638,0.8616
430,0.1188,0.1228
431,0.8748,0.8706
432,0.1452,0.1544
433,0.8748,0.8706
434,0.7372,0.7384
435,0.1192,0.1248
436,0.2094,0.2104
437,0.8748,0.8706
438,0.8638,0.8616
439,0.1192,0.1248
440,0.8638,0.8616
441,0.1532,0.1594
442,0.5808,0.5928
443,0.6198,0.6144
444,0.775,0.7718
445,0.1452,0.1544
446,0.8748,0.8706
447,0.184,0.1912
448,0.5388,0.541
449,0.8502,0.8464
450,0.171,0.1742
451,0.8638,0.8616
452,0.4418,0.4336
453,0.3426,0.3344
454,0.8638,0.8616
455,0.1648,0.17
456,0.5224,0.5218
457,0.494,0.4922
458,0.5,0.5032
459,0.494,0.4922
460,0.5,0.5032
461,0.8638,0.8616
462,0.1192,0.1248
463,0.7178,0.7252
464,0.4394,0.433
465,0.5806,0.5858
466,0.3296,0.332
467,0.6644,0.6634
468,0.3296,0.332
469,0.6644,0.6634
470,0.8638,0.8616
471,0.1678,0.1716
472,0.8748,0.8706
473,0.3006,0.3016
474,0.8488,0.8472
475,0.8638,0.8616
476,0.2726,0.2794
477,0.5034,0.4912
478,0.8638,0.8616
479,0.1448,0.1522
480,0.656,0.6592
481,0.1452,0.1544
482,0.8748,0.8706
483,0.8638,0.8616
484,0.1192,0.1248
485,0.6698,0.6652
486,0.3766,0.384
487,0.7372,0.7384
488,0.1192,0.1248
489,0.7184,0.724
490,0.775,0.7718
491,0.1192,0.1248
492,0.6038,0.5986
493,0.52,0.5156
494,0.4476,0.4614
495,0.5,0.5032
496,0.6764,0.6676
497,0.4268,0.439
498,0.5672,0.5564
499,0.4268,0.439
500,0.5672,0.5564
501,0.6866,0.6814
502,0.129,0.133
503,0.585,0.5874
504,0.446,0.4462
505,0.5512,0.5474
506,0.4782,0.4836
507,0.5418,0.5352
508,0.2462,0.2398
509,0.8638,0.8616
510,0.1192,0.1248
