T(rees),Training Error,Testing Error
888,0.0136,0.1446
889,0.0136,0.1446
890,0.0136,0.1446
891,0.0136,0.1446
892,0.0136,0.1446
893,0.0136,0.1446
894,0.0136,0.1446
895,0.0136,0.1446
896,0.0136,0.1446
897,0.0136,0.1446
898,0.0136,0.1446
899,0.0136,0.1446
900,0.0136,0.1446
901,0.0136,0.1446
902,0.0136,0.1446
903,0.0136,0.1448
904,0.0136,0.1448
905,0.0136,0.1448
906,0.0136,0.1448
907,0.0136,0.1448
908,0.0136,0.1448
909,0.0136,0.1448
910,0.0136,0.1448
911,0.0136,0.1448
912,0.0136,0.1448
913,0.0136,0.1448
914,0.0136,0.1448
915,0.0136,0.1448
916,0.0136,0.1448
917,0.0136,0.1448
918,0.0136,0.1448
919,0.0136,0.1448
920,0.0136,0.1448
921,0.0136,0.1448
922,0.0136,0.145
923,0.0136,0.1448
924,0.0136,0.145
925,0.0136,0.145
926,0.0136,0.145
927,0.0136,0.145
928,0.0136,0.145
929,0.0136,0.145
930,0.0136,0.145
931,0.0136,0.145
932,0.0136,0.145
933,0.0136,0.1452
934,0.0136,0.1452
935,0.0136,0.1452
936,0.0136,0.145
937,0.0136,0.1452
938,0.0136,0.145
939,0.0136,0.1452
940,0.0136,0.1452
941,0.0136,0.1452
942,0.0136,0.145
943,0.0136,0.145
944,0.0136,0.1452
945,0.0136,0.145
946,0.0136,0.145
947,0.0136,0.145
948,0.0136,0.1448
949,0.0136,0.1448
950,0.0136,0.1448
951,0.0136,0.1448
952,0.0136,0.1448
953,0.0136,0.145
954,0.0136,0.145
955,0.0136,0.1452
956,0.0136,0.1454
957,0.0136,0.1452
958,0.0136,0.1456
959,0.0136,0.145
960,0.0136,0.1454
961,0.0136,0.1452
962,0.0136,0.1452
963,0.0136,0.1454
964,0.0136,0.1456
965,0.0136,0.1456
966,0.0136,0.1456
967,0.0136,0.1454
968,0.0136,0.1452
969,0.0136,0.145
970,0.0136,0.1452
971,0.0136,0.1452
972,0.0136,0.1452
973,0.0136,0.1452
974,0.0136,0.1454
975,0.0136,0.1452
976,0.0136,0.1452
977,0.0136,0.1454
978,0.0136,0.1452
979,0.0136,0.1454
980,0.0136,0.1452
981,0.0136,0.1452
982,0.0136,0.1454
983,0.0136,0.1458
984,0.0136,0.1458
985,0.0136,0.1458
986,0.0136,0.1458
987,0.0136,0.1456
988,0.0136,0.1458
989,0.0136,0.146
990,0.0136,0.1458
991,0.0136,0.1458
992,0.0136,0.1458
993,0.0136,0.146
994,0.0136,0.146
995,0.0136,0.146
996,0.0136,0.146
997,0.0136,0.1458
998,0.0136,0.1458
999,0.0136,0.1458
1000,0.0136,0.1458
