Tree#,Training Error,Testing Error
705,0.0648,0.164
706,0.0664,0.1784
707,0.0704,0.168
708,0.0648,0.1656
709,0.0666,0.1598
710,0.0664,0.168
711,0.0722,0.1794
712,0.0694,0.17
713,0.071,0.171
714,0.0708,0.1688
715,0.0639999999999999,0.1768
716,0.0702,0.172
717,0.0672,0.1646
718,0.0652,0.1726
719,0.071,0.171
720,0.0724,0.1736
721,0.0672,0.1662
722,0.071,0.1712
723,0.0734,0.1732
724,0.0744,0.167
725,0.0712,0.1628
726,0.0679999999999999,0.1592
727,0.0644,0.1702
728,0.0662,0.177
729,0.0692,0.1712
730,0.0714,0.1696
731,0.0639999999999999,0.1656
732,0.0679999999999999,0.1682
733,0.0714,0.173
734,0.0678,0.1744
735,0.0632,0.171
736,0.0642,0.173
737,0.0688,0.1682
738,0.0774,0.174
739,0.069,0.1636
740,0.0666,0.1706
741,0.0676,0.1708
742,0.0706,0.1682
743,0.0678,0.1598
744,0.0704,0.1724
745,0.0672,0.1732
746,0.0706,0.1652
747,0.0648,0.164
748,0.0659999999999999,0.1722
749,0.0659999999999999,0.1722
750,0.0664,0.1688
751,0.0686,0.1724
752,0.0696,0.1672
753,0.0694,0.17
754,0.069,0.1616
755,0.0672,0.162
756,0.0632,0.1622
757,0.0666,0.1532
758,0.0702,0.1762
759,0.0649999999999999,0.1604
760,0.0686,0.1664
761,0.0656,0.1546
762,0.072,0.1662
763,0.0706,0.1752
764,0.0656,0.1712
765,0.0724,0.1612
766,0.0698,0.1658
767,0.0712,0.1812
768,0.0722,0.1586
769,0.0668,0.165
770,0.0686,0.1644
771,0.0706,0.163
772,0.0678,0.1816
773,0.0734,0.1836
774,0.0648,0.1678
775,0.0642,0.1594
776,0.0718,0.1722
777,0.0659999999999999,0.1684
778,0.0692,0.1704
779,0.07,0.1722
780,0.0674,0.1626
781,0.0752,0.171
782,0.0708,0.172
783,0.0638,0.1638
784,0.0716,0.1808
785,0.0654,0.1706
786,0.0698,0.177
787,0.0684,0.1654
788,0.0736,0.1762
789,0.0704,0.1766
790,0.0674,0.1748
791,0.0734,0.1688
792,0.0674,0.1654
793,0.0654,0.163
794,0.0644,0.1642
795,0.0702,0.1656
796,0.0694,0.158
797,0.0662,0.1674
798,0.0666,0.1744
799,0.0686,0.1572
800,0.0638,0.1648
801,0.0664,0.1824
802,0.0652,0.168
803,0.0644,0.1706
804,0.0716,0.1664
805,0.071,0.1758
806,0.0698,0.1728
807,0.0629999999999999,0.1722
808,0.0694,0.1592
809,0.0686,0.1722
810,0.0672,0.166
811,0.0648,0.1684
812,0.0698,0.1666
813,0.0662,0.1796
814,0.0684,0.1568
815,0.074,0.1624
816,0.0674,0.1696
817,0.0648,0.1718
818,0.0658,0.1682
819,0.0656,0.167
820,0.0684,0.1638
821,0.0682,0.168
822,0.0712,0.1738
823,0.0726,0.1608
824,0.0686,0.172
825,0.0642,0.1666
826,0.0674,0.1654
827,0.0638,0.1592
828,0.0694,0.1676
829,0.0692,0.1698
830,0.0728,0.171
831,0.0620000000000001,0.1574
832,0.0692,0.1766
833,0.0669999999999999,0.1614
834,0.0736,0.167
835,0.0686,0.1612
836,0.0636,0.1684
837,0.0632,0.1684
838,0.071,0.1696
839,0.0620000000000001,0.171
840,0.0642,0.174
841,0.0676,0.1716
842,0.0726,0.1748
843,0.0712,0.171
844,0.0674,0.1676
845,0.0692,0.1628
846,0.0622,0.167
847,0.0694,0.1756
848,0.076,0.1726
849,0.0696,0.1588
850,0.0672,0.1772
851,0.0706,0.164
852,0.0664,0.1636
853,0.0679999999999999,0.1664
854,0.0728,0.1786
855,0.0638,0.171
856,0.0744,0.1688
857,0.0638,0.1608
858,0.0682,0.1662
859,0.0676,0.1648
860,0.0659999999999999,0.162
861,0.0634,0.1744
862,0.0696,0.1684
863,0.0659999999999999,0.1638
864,0.0704,0.1718
865,0.0726,0.1692
866,0.0662,0.1592
867,0.0676,0.1716
868,0.0629999999999999,0.1644
869,0.0646,0.1674
870,0.0666,0.1552
871,0.0632,0.1654
872,0.0684,0.1626
873,0.0732,0.1638
874,0.074,0.1734
875,0.0679999999999999,0.164
876,0.0762,0.1688
877,0.0674,0.1714
878,0.0666,0.168
879,0.0702,0.1702
880,0.0718,0.1708
881,0.0736,0.1716
882,0.0706,0.172
883,0.0616,0.1708
884,0.0652,0.169
885,0.0646,0.1708
886,0.0696,0.164
887,0.0702,0.161
888,0.0666,0.1682
889,0.0666,0.1658
890,0.0646,0.158
891,0.0684,0.165
892,0.0708,0.174
893,0.0714,0.1828
894,0.0676,0.1614
895,0.0638,0.1712
896,0.0712,0.1664
897,0.0649999999999999,0.1702
898,0.0656,0.1574
899,0.0724,0.1682
900,0.0728,0.1642
901,0.069,0.1684
902,0.0652,0.1632
903,0.0679999999999999,0.167
904,0.069,0.1678
905,0.0638,0.1636
906,0.0704,0.1672
907,0.0718,0.1672
908,0.0672,0.167
909,0.069,0.1668
910,0.0694,0.1674
911,0.0726,0.1734
912,0.0698,0.17
913,0.0662,0.1698
914,0.0644,0.1646
915,0.0668,0.1758
916,0.0676,0.1658
917,0.0669999999999999,0.1662
918,0.0712,0.1774
919,0.0692,0.1606
920,0.0668,0.1608
921,0.0654,0.1602
922,0.0686,0.1602
923,0.0639999999999999,0.1594
924,0.0698,0.1702
925,0.0704,0.169
926,0.0676,0.1674
927,0.0646,0.1662
928,0.0668,0.1708
929,0.071,0.174
930,0.0672,0.1752
931,0.0688,0.1692
932,0.0702,0.1718
933,0.0672,0.1726
934,0.0678,0.1674
935,0.0666,0.1702
936,0.0672,0.165
937,0.07,0.1614
938,0.0676,0.1688
939,0.0672,0.1694
940,0.0629999999999999,0.171
941,0.0649999999999999,0.1698
942,0.0672,0.1702
943,0.0659999999999999,0.1732
944,0.0692,0.171
945,0.0712,0.173
946,0.0658,0.167
947,0.073,0.1664
948,0.0696,0.1628
949,0.0668,0.1722
950,0.0676,0.1728
951,0.0629999999999999,0.1618
952,0.0664,0.1794
953,0.0676,0.1648
954,0.0684,0.1694
955,0.0684,0.1822
956,0.0669999999999999,0.162
957,0.0638,0.155
958,0.0658,0.1652
959,0.0659999999999999,0.1616
960,0.0724,0.1724
961,0.0728,0.1624
962,0.0698,0.1604
963,0.0679999999999999,0.176
964,0.0686,0.1676
965,0.0706,0.1704
966,0.069,0.1716
967,0.0664,0.1692
968,0.0662,0.1638
969,0.0666,0.175
970,0.074,0.1732
971,0.07,0.1682
972,0.0676,0.1698
973,0.0642,0.1722
974,0.0738,0.171
975,0.0628,0.173
976,0.0684,0.16
977,0.0702,0.171
978,0.0656,0.1634
979,0.0648,0.1756
980,0.0684,0.166
981,0.0692,0.1738
982,0.0669999999999999,0.1674
983,0.0678,0.1638
984,0.0708,0.179
985,0.071,0.1706
986,0.0708,0.1676
987,0.0696,0.1642
988,0.0756,0.1694
989,0.069,0.1682
990,0.0686,0.165
991,0.0738,0.1668
992,0.0669999999999999,0.1674
993,0.0676,0.169
994,0.071,0.1714
995,0.07,0.1642
996,0.0716,0.1802
997,0.0714,0.1682
998,0.0668,0.164
999,0.0692,0.1698
1000,0.0682,0.1696
