Tree#,Training Error,Testing Error
875,0.0718,0.1652
876,0.072,0.1786
877,0.0688,0.1726
878,0.0738,0.1666
879,0.0698,0.1858
880,0.0646,0.165
881,0.0692,0.174
882,0.0686,0.1714
883,0.0628,0.173
884,0.0714,0.1808
885,0.0654,0.1702
886,0.0684,0.1646
887,0.0692,0.1696
888,0.075,0.1816
889,0.0666,0.1702
890,0.0676,0.1654
891,0.0754,0.1706
892,0.0782,0.1788
893,0.0624,0.17
894,0.0648,0.1636
895,0.0698,0.1616
896,0.069,0.1728
897,0.0694,0.1764
898,0.0662,0.1622
899,0.0732,0.1728
900,0.072,0.1762
901,0.0604,0.1624
902,0.0692,0.1806
903,0.0714,0.1744
904,0.0692,0.1762
905,0.0704,0.1734
906,0.0674,0.1718
907,0.0666,0.1716
908,0.069,0.1668
909,0.0738,0.176
910,0.0708,0.1736
911,0.0724,0.1688
912,0.0668,0.1682
913,0.0678,0.167
914,0.0696,0.1746
915,0.0654,0.1842
916,0.0692,0.165
917,0.0704,0.179
918,0.0679999999999999,0.1714
919,0.0728,0.1728
920,0.0734,0.1824
921,0.077,0.1744
922,0.0669999999999999,0.163
923,0.0748,0.1732
924,0.0722,0.1708
925,0.0714,0.171
926,0.0728,0.1746
927,0.0638,0.1728
928,0.0694,0.1608
929,0.0696,0.1658
930,0.0662,0.1794
931,0.0766,0.1814
932,0.0668,0.1756
933,0.0728,0.175
934,0.0668,0.1738
935,0.0666,0.166
936,0.0686,0.1562
937,0.0676,0.1732
938,0.0686,0.1812
939,0.069,0.1662
940,0.0708,0.1854
941,0.0696,0.175
942,0.0716,0.1688
943,0.0678,0.175
944,0.0674,0.1686
945,0.0724,0.18
946,0.0736,0.169
947,0.0734,0.1668
948,0.0688,0.182
949,0.0684,0.1812
950,0.0706,0.1796
951,0.0724,0.1754
952,0.0649999999999999,0.175
953,0.0642,0.164
954,0.0746,0.1808
955,0.0726,0.1696
956,0.0676,0.1672
957,0.0672,0.1646
958,0.0724,0.1828
959,0.0679999999999999,0.1716
960,0.0714,0.1676
961,0.0722,0.1734
962,0.0648,0.1688
963,0.069,0.1668
964,0.0742,0.182
965,0.0678,0.175
966,0.071,0.1766
967,0.0654,0.1686
968,0.07,0.1778
969,0.0718,0.179
970,0.0682,0.167
971,0.0664,0.1746
972,0.069,0.1728
973,0.0724,0.1694
974,0.0726,0.1772
975,0.0676,0.1658
976,0.0702,0.1748
977,0.0669999999999999,0.1586
978,0.0679999999999999,0.1718
979,0.074,0.1792
980,0.0672,0.1692
981,0.0706,0.1694
982,0.0704,0.1748
983,0.0669999999999999,0.1734
984,0.078,0.175
985,0.0686,0.1686
986,0.071,0.164
987,0.0692,0.176
988,0.072,0.1698
989,0.0688,0.172
990,0.0748,0.1792
991,0.0688,0.1734
992,0.0724,0.178
993,0.07,0.176
994,0.0702,0.1692
995,0.0688,0.1688
996,0.0728,0.1692
997,0.0688,0.175
998,0.0722,0.177
999,0.0659999999999999,0.17
1000,0.0604,0.1768
